                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0886,                 1.3401,                0.78995,                0.96529,                0.64608,                0.71672,                0.70569,                0.43589,                0.63679,                0.70692,                0.68353,                0.36502,                 1.2535,                 1.7334,                0.93288,                 1.0801,             0.00074804,             0.00074804,             0.00074804
                     69,                 1.0905,                 1.3342,                0.77744,                0.96903,                0.64828,                0.73332,                0.71537,                0.43899,                0.63704,                0.71937,                0.69141,                0.36138,                 1.2556,                 1.7155,                0.94138,                 1.0814,             0.00074254,             0.00074254,             0.00074254
                     70,                 1.0885,                 1.3246,                0.79056,                0.97098,                 0.6277,                 0.7462,                0.71787,                0.44261,                0.62148,                0.73262,                0.69591,                0.36783,                 1.2654,                 1.7336,                0.92887,                 1.0889,             0.00073704,             0.00073704,             0.00073704
                     71,                 1.0804,                 1.3236,                0.78067,                0.96508,                0.65199,                0.73092,                0.72131,                0.44605,                0.64062,                 0.7128,                0.69133,                0.36926,                 1.2466,                  1.736,                0.91566,                 1.0813,             0.00073154,             0.00073154,             0.00073154
                     72,                 1.0903,                  1.338,                0.77805,                0.97719,                0.66012,                 0.7277,                0.72299,                0.44539,                0.64739,                0.72037,                 0.7003,                0.36893,                 1.2505,                 1.7298,                0.91494,                 1.0883,             0.00072604,             0.00072604,             0.00072604
                     73,                  1.078,                 1.3203,                0.77875,                0.96779,                0.65106,                0.72572,                0.72015,                0.44357,                0.64061,                0.71517,                0.70011,                0.37249,                 1.2584,                  1.738,                0.92125,                 1.0832,             0.00072054,             0.00072054,             0.00072054
                     74,                 1.0846,                 1.3243,                0.78269,                0.96802,                0.64302,                0.73141,                0.71314,                 0.4418,                0.63526,                0.72325,                0.69462,                0.37006,                 1.2496,                 1.7054,                 0.9213,                 1.0843,             0.00071504,             0.00071504,             0.00071504
                     75,                 1.0685,                 1.2849,                 0.7621,                0.96228,                0.65205,                0.70736,                0.69893,                0.42889,                0.62704,                0.71142,                0.67932,                0.35851,                 1.2602,                 1.7552,                0.95177,                 1.0895,             0.00070954,             0.00070954,             0.00070954
                     76,                 1.0647,                 1.2985,                0.75784,                0.96552,                0.62987,                0.74991,                0.71726,                0.44312,                 0.6202,                0.73723,                0.69601,                0.36596,                 1.2477,                 1.7493,                0.93838,                 1.0852,             0.00070404,             0.00070404,             0.00070404
                     77,                  1.071,                    1.3,                0.75438,                0.96437,                0.62516,                0.72561,                0.70383,                0.43413,                0.61271,                0.72329,                0.68556,                 0.3658,                 1.2534,                 1.6989,                0.95175,                  1.083,             0.00069854,             0.00069854,             0.00069854
